# RFC1213-MIB list of identifiers (generated by smidump 0.4.5)

# WARNING: this output may be incorrect due to significant parse errors

RFC1213-MIB DisplayString           type        
RFC1213-MIB PhysAddress             type        
IP-FORWARD-MIB inetCidrRouteMetric4        column       1.3.6.1.2.1.4.24.7.1.15
IP-FORWARD-MIB inetCidrRouteMetric5        column       1.3.6.1.2.1.4.24.7.1.16
IP-FORWARD-MIB inetCidrRouteStatus         column       1.3.6.1.2.1.4.24.7.1.17
IP-FORWARD-MIB inetCidrRouteDiscards       scalar       1.3.6.1.2.1.4.24.8
# UDP-MIB list of identifiers (generated by smidump 0.4.5)

UDP-MIB udp                          node         1.3.6.1.2.1.7
UDP-MIB udpInDatagrams               scalar       1.3.6.1.2.1.7.1
UDP-MIB udpNoPorts                   scalar       1.3.6.1.2.1.7.2
UDP-MIB udpInErrors                  scalar       1.3.6.1.2.1.7.3
UDP-MIB udpOutDatagrams              scalar       1.3.6.1.2.1.7.4
UDP-MIB udpTable                     table        1.3.6.1.2.1.7.5
UDP-MIB udpEntry                     row          1.3.6.1.2.1.7.5.1
UDP-MIB udpLocalAddress              column       1.3.6.1.2.1.7.5.1.1
UDP-MIB udpLocalPort                 column       1.3.6.1.2.1.7.5.1.2
UDP-MIB udpEndpointTable             table        1.3.6.1.2.1.7.7
UDP-MIB udpEndpointEntry             row          1.3.6.1.2.1.7.7.1
UDP-MIB udpEndpointLocalAddressType  column       1.3.6.1.2.1.7.7.1.1
UDP-MIB udpEndpointLocalAddress      column       1.3.6.1.2.1.7.7.1.2
UDP-MIB udpEndpointLocalPort         column       1.3.6.1.2.1.7.7.1.3
UDP-MIB udpEndpointRemoteAddressType column       1.3.6.1.2.1.7.7.1.4
UDP-MIB udpEndpointRemoteAddress     column       1.3.6.1.2.1.7.7.1.5
UDP-MIB udpEndpointRemotePort        column       1.3.6.1.2.1.7.7.1.6
UDP-MIB udpEndpointInstance          column       1.3.6.1.2.1.7.7.1.7
UDP-MIB udpEndpointProcess           column       1.3.6.1.2.1.7.7.1.8
UDP-MIB udpHCInDatagrams             scalar       1.3.6.1.2.1.7.8
UDP-MIB udpHCOutDatagrams            scalar       1.3.6.1.2.1.7.9
UDP-MIB udpMIB                       node         1.3.6.1.2.1.50
UDP-MIB udpMIBConformance            node         1.3.6.1.2.1.50.2
UDP-MIB udpMIBCompliances            node         1.3.6.1.2.1.50.2.1
UDP-MIB udpMIBGroups                 node         1.3.6.1.2.1.50.2.2
# TCP-MIB list of identifiers (generated by smidump 0.4.5)

TCP-MIB tcp                           node         1.3.6.1.2.1.6
TCP-MIB tcpRtoAlgorithm               scalar       1.3.6.1.2.1.6.1
TCP-MIB tcpRtoMin                     scalar       1.3.6.1.2.1.6.2
TCP-MIB tcpRtoMax                     scalar       1.3.6.1.2.1.6.3
TCP-MIB tcpMaxConn                    scalar       1.3.6.1.2.1.6.4
TCP-MIB tcpActiveOpens                scalar       1.3.6.1.2.1.6.5
TCP-MIB tcpPassiveOpens               scalar       1.3.6.1.2.1.6.6
TCP-MIB tcpAttemptFails               scalar       1.3.6.1.2.1.6.7
TCP-MIB tcpEstabResets                scalar       1.3.6.1.2.1.6.8
TCP-MIB tcpCurrEstab                  scalar       1.3.6.1.2.1.6.9
TCP-MIB tcpInSegs                     scalar       1.3.6.1.2.1.6.10
TCP-MIB tcpOutSegs                    scalar       1.3.6.1.2.1.6.11
TCP-MIB tcpRetransSegs                scalar       1.3.6.1.2.1.6.12
TCP-MIB tcpConnTable                  table        1.3.6.1.2.1.6.13
TCP-MIB tcpConnEntry                  row          1.3.6.1.2.1.6.13.1
TCP-MIB tcpConnState                  column       1.3.6.1.2.1.6.13.1.1
TCP-MIB tcpConnLocalAddress           column       1.3.6.1.2.1.6.13.1.2
TCP-MIB tcpConnLocalPort              column       1.3.6.1.2.1.6.13.1.3
TCP-MIB tcpConnRemAddress             column       1.3.6.1.2.1.6.13.1.4
TCP-MIB tcpConnRemPort                column       1.3.6.1.2.1.6.13.1.5
TCP-MIB tcpInErrs                     scalar       1.3.6.1.2.1.6.14
TCP-MIB tcpOutRsts                    scalar       1.3.6.1.2.1.6.15
TCP-MIB tcpHCInSegs                   scalar       1.3.6.1.2.1.6.17
TCP-MIB tcpHCOutSegs                  scalar       1.3.6.1.2.1.6.18
TCP-MIB tcpConnectionTable            table        1.3.6.1.2.1.6.19
TCP-MIB tcpConnectionEntry            row          1.3.6.1.2.1.6.19.1
TCP-MIB tcpConnectionLocalAddressType column       1.3.6.1.2.1.6.19.1.1
TCP-MIB tcpConnectionLocalAddress     column       1.3.6.1.2.1.6.19.1.2
TCP-MIB tcpConnectionLocalPort        column       1.3.6.1.2.1.6.19.1.3
TCP-MIB tcpConnectionRemAddressType   column       1.3.6.1.2.1.6.19.1.4
TCP-MIB tcpConnectionRemAddress       column       1.3.6.1.2.1.6.19.1.5
TCP-MIB tcpConnectionRemPort          column       1.3.6.1.2.1.6.19.1.6
TCP-MIB tcpConnectionState            column       1.3.6.1.2.1.6.19.1.7
TCP-MIB tcpConnectionProcess          column       1.3.6.1.2.1.6.19.1.8
TCP-MIB tcpListenerTable              table        1.3.6.1.2.1.6.20
TCP-MIB tcpListenerEntry              row          1.3.6.1.2.1.6.20.1
TCP-MIB tcpListenerLocalAddressType   column       1.3.6.1.2.1.6.20.1.1
TCP-MIB tcpListenerLocalAddress       column       1.3.6.1.2.1.6.20.1.2
TCP-MIB tcpListenerLocalPort          column       1.3.6.1.2.1.6.20.1.3
TCP-MIB tcpListenerProcess            column       1.3.6.1.2.1.6.20.1.4
TCP-MIB tcpMIB                        node         1.3.6.1.2.1.49
TCP-MIB tcpMIBConformance             node         1.3.6.1.2.1.49.2
TCP-MIB tcpMIBCompliances             node         1.3.6.1.2.1.49.2.1
TCP-MIB tcpMIBGroups                  node         1.3.6.1.2.1.49.2.2
# TUNNEL-MIB list of identifiers (generated by smidump 0.4.5)

TUNNEL-MIB tunnelMIB                       node         1.3.6.1.2.1.10.131
TUNNEL-MIB tunnelMIBObjects                node         1.3.6.1.2.1.10.131.1
TUNNEL-MIB tunnel                          node         1.3.6.1.2.1.10.131.1.1
TUNNEL-MIB tunnelIfTable                   table        1.3.6.1.2.1.10.131.1.1.1
TUNNEL-MIB tunnelIfEntry                   row          1.3.6.1.2.1.10.131.1.1.1.1
TUNNEL-MIB tunnelIfLocalAddress            column       1.3.6.1.2.1.10.131.1.1.1.1.1
TUNNEL-MIB tunnelIfRemoteAddress           column       1.3.6.1.2.1.10.131.1.1.1.1.2
TUNNEL-MIB tunnelIfEncapsMethod            column       1.3.6.1.2.1.10.131.1.1.1.1.3
TUNNEL-MIB tunnelIfHopLimit                column       1.3.6.1.2.1.10.131.1.1.1.1.4
TUNNEL-MIB tunnelIfSecurity                column       1.3.6.1.2.1.10.131.1.1.1.1.5
TUNNEL-MIB tunnelIfTOS                     column       1.3.6.1.2.1.10.131.1.1.1.1.6
TUNNEL-MIB tunnelIfFlowLabel               column       1.3.6.1.2.1.10.131.1.1.1.1.7
TUNNEL-MIB tunnelIfAddressType             column       1.3.6.1.2.1.10.131.1.1.1.1.8
TUNNEL-MIB tunnelIfLocalInetAddress        column       1.3.6.1.2.1.10.131.1.1.1.1.9
TUNNEL-MIB tunnelIfRemoteInetAddress       column       1.3.6.1.2.1.10.131.1.1.1.1.10
TUNNEL-MIB tunnelIfEncapsLimit             column       1.3.6.1.2.1.10.131.1.1.1.1.11
TUNNEL-MIB tunnelConfigTable               table        1.3.6.1.2.1.10.131.1.1.2
TUNNEL-MIB tunnelConfigEntry               row          1.3.6.1.2.1.10.131.1.1.2.1
TUNNEL-MIB tunnelConfigLocalAddress        column       1.3.6.1.2.1.10.131.1.1.2.1.1
TUNNEL-MIB tunnelConfigRemoteAddress       column       1.3.6.1.2.1.10.131.1.1.2.1.2
TUNNEL-MIB tunnelConfigEncapsMethod        column       1.3.6.1.2.1.10.131.1.1.2.1.3
TUNNEL-MIB tunnelConfigID                  column       1.3.6.1.2.1.10.131.1.1.2.1.4
TUNNEL-MIB tunnelConfigIfIndex             column       1.3.6.1.2.1.10.131.1.1.2.1.5
TUNNEL-MIB tunnelConfigStatus              column       1.3.6.1.2.1.10.131.1.1.2.1.6
TUNNEL-MIB tunnelInetConfigTable           table        1.3.6.1.2.1.10.131.1.1.3
TUNNEL-MIB tunnelInetConfigEntry           row          1.3.6.1.2.1.10.131.1.1.3.1
TUNNEL-MIB tunnelInetConfigAddressType     column       1.3.6.1.2.1.10.131.1.1.3.1.1
TUNNEL-MIB tunnelInetConfigLocalAddress    column       1.3.6.1.2.1.10.131.1.1.3.1.2
TUNNEL-MIB tunnelInetConfigRemoteAddress   column       1.3.6.1.2.1.10.131.1.1.3.1.3
TUNNEL-MIB tunnelInetConfigEncapsMethod    column       1.3.6.1.2.1.10.131.1.1.3.1.4
TUNNEL-MIB tunnelInetConfigID              column       1.3.6.1.2.1.10.131.1.1.3.1.5
TUNNEL-MIB tunnelInetConfigIfIndex         column       1.3.6.1.2.1.10.131.1.1.3.1.6
TUNNEL-MIB tunnelInetConfigStatus          column       1.3.6.1.2.1.10.131.1.1.3.1.7
TUNNEL-MIB tunnelInetConfigStorageType     column       1.3.6.1.2.1.10.131.1.1.3.1.8
TUNNEL-MIB tunnelMIBConformance            node         1.3.6.1.2.1.10.131.2
TUNNEL-MIB tunnelMIBCompliances            node         1.3.6.1.2.1.10.131.2.1
TUNNEL-MIB tunnelMIBGroups                 node         1.3.6.1.2.1.10.131.2.2
# SNMP-FRAMEWORK-MIB list of identifiers (generated by smidump 0.4.5)

SNMP-FRAMEWORK-MIB SnmpEngineID                type        
SNMP-FRAMEWORK-MIB SnmpSecurityModel           type        
SNMP-FRAMEWORK-MIB SnmpMessageProcessingModel  type        
SNMP-FRAMEWORK-MIB SnmpSecurityLevel           type        
SNMP-FRAMEWORK-MIB SnmpAdminString             type        
SNMP-FRAMEWORK-MIB snmpFrameworkMIB            node         1.3.6.1.6.3.10
SNMP-FRAMEWORK-MIB snmpFrameworkAdmin          node         1.3.6.1.6.3.10.1
SNMP-FRAMEWORK-MIB snmpAuthProtocols           node         1.3.6.1.6.3.10.1.1
SNMP-FRAMEWORK-MIB snmpPrivProtocols           node         1.3.6.1.6.3.10.1.2
SNMP-FRAMEWORK-MIB snmpFrameworkMIBObjects     node         1.3.6.1.6.3.10.2
SNMP-FRAMEWORK-MIB snmpEngine                  node         1.3.6.1.6.3.10.2.1
SNMP-FRAMEWORK-MIB snmpEngineID                scalar       1.3.6.1.6.3.10.2.1.1
SNMP-FRAMEWORK-MIB snmpEngineBoots             scalar       1.3.6.1.6.3.10.2.1.2
SNMP-FRAMEWORK-MIB snmpEngineTime              scalar       1.3.6.1.6.3.10.2.1.3
SNMP-FRAMEWORK-MIB snmpEngineMaxMessageSize    scalar       1.3.6.1.6.3.10.2.1.4
SNMP-FRAMEWORK-MIB snmpFrameworkMIBConformance node         1.3.6.1.6.3.10.3
SNMP-FRAMEWORK-MIB snmpFrameworkMIBCompliances node         1.3.6.1.6.3.10.3.1
SNMP-FRAMEWORK-MIB snmpFrameworkMIBGroups      node         1.3.6.1.6.3.10.3.2
# SNMP-VIEW-BASED-ACM-MIB list of identifiers (generated by smidump 0.4.5)

SNMP-VIEW-BASED-ACM-MIB snmpVacmMIB                    node         1.3.6.1.6.3.16
SNMP-VIEW-BASED-ACM-MIB vacmMIBObjects                 node         1.3.6.1.6.3.16.1
SNMP-VIEW-BASED-ACM-MIB vacmContextTable               table        1.3.6.1.6.3.16.1.1
SNMP-VIEW-BASED-ACM-MIB vacmContextEntry               row          1.3.6.1.6.3.16.1.1.1
SNMP-VIEW-BASED-ACM-MIB vacmContextName                column       1.3.6.1.6.3.16.1.1.1.1
SNMP-VIEW-BASED-ACM-MIB vacmSecurityToGroupTable       table        1.3.6.1.6.3.16.1.2
SNMP-VIEW-BASED-ACM-MIB vacmSecurityToGroupEntry       row          1.3.6.1.6.3.16.1.2.1
SNMP-VIEW-BASED-ACM-MIB vacmSecurityModel              column       1.3.6.1.6.3.16.1.2.1.1
SNMP-VIEW-BASED-ACM-MIB vacmSecurityName               column       1.3.6.1.6.3.16.1.2.1.2
SNMP-VIEW-BASED-ACM-MIB vacmGroupName                  column       1.3.6.1.6.3.16.1.2.1.3
SNMP-VIEW-BASED-ACM-MIB vacmSecurityToGroupStorageType column       1.3.6.1.6.3.16.1.2.1.4
SNMP-VIEW-BASED-ACM-MIB vacmSecurityToGroupStatus      column       1.3.6.1.6.3.16.1.2.1.5
SNMP-VIEW-BASED-ACM-MIB vacmAccessTable                table        1.3.6.1.6.3.16.1.4
SNMP-VIEW-BASED-ACM-MIB vacmAccessEntry                row          1.3.6.1.6.3.16.1.4.1
SNMP-VIEW-BASED-ACM-MIB vacmAccessContextPrefix        column       1.3.6.1.6.3.16.1.4.1.1
SNMP-VIEW-BASED-ACM-MIB vacmAccessSecurityModel        column       1.3.6.1.6.3.16.1.4.1.2
SNMP-VIEW-BASED-ACM-MIB vacmAccessSecurityLevel        column       1.3.6.1.6.3.16.1.4.1.3
SNMP-VIEW-BASED-ACM-MIB vacmAccessContextMatch         column       1.3.6.1.6.3.16.1.4.1.4
SNMP-VIEW-BASED-ACM-MIB vacmAccessReadViewName         column       1.3.6.1.6.3.16.1.4.1.5
SNMP-VIEW-BASED-ACM-MIB vacmAccessWriteViewName        column       1.3.6.1.6.3.16.1.4.1.6
SNMP-VIEW-BASED-ACM-MIB vacmAccessNotifyViewName       column       1.3.6.1.6.3.16.1.4.1.7
SNMP-VIEW-BASED-ACM-MIB vacmAccessStorageType          column       1.3.6.1.6.3.16.1.4.1.8
SNMP-VIEW-BASED-ACM-MIB vacmAccessStatus               column       1.3.6.1.6.3.16.1.4.1.9
SNMP-VIEW-BASED-ACM-MIB vacmMIBViews                   node         1.3.6.1.6.3.16.1.5
SNMP-VIEW-BASED-ACM-MIB vacmViewSpinLock               scalar       1.3.6.1.6.3.16.1.5.1
SNMP-VIEW-BASED-ACM-MIB vacmViewTreeFamilyTable        table        1.3.6.1.6.3.16.1.5.2
SNMP-VIEW-BASED-ACM-MIB vacmViewTreeFamilyEntry        row          1.3.6.1.6.3.16.1.5.2.1
SNMP-VIEW-BASED-ACM-MIB vacmViewTreeFamilyViewName     column       1.3.6.1.6.3.16.1.5.2.1.1
SNMP-VIEW-BASED-ACM-MIB vacmViewTreeFamilySubtree      column       1.3.6.1.6.3.16.1.5.2.1.2
SNMP-VIEW-BASED-ACM-MIB vacmViewTreeFamilyMask         column       1.3.6.1.6.3.16.1.5.2.1.3
SNMP-VIEW-BASED-ACM-MIB vacmViewTreeFamilyType         column       1.3.6.1.6.3.16.1.5.2.1.4
SNMP-VIEW-BASED-ACM-MIB vacmViewTreeFamilyStorageType  column       1.3.6.1.6.3.16.1.5.2.1.5
SNMP-VIEW-BASED-ACM-MIB vacmViewTreeFamilyStatus       column       1.3.6.1.6.3.16.1.5.2.1.6
SNMP-VIEW-BASED-ACM-MIB vacmMIBConformance             node         1.3.6.1.6.3.16.2
SNMP-VIEW-BASED-ACM-MIB vacmMIBCompliances             node         1.3.6.1.6.3.16.2.1
SNMP-VIEW-BASED-ACM-MIB vacmMIBGroups                  node         1.3.6.1.6.3.16.2.2
# SNMP-TARGET-MIB list of identifiers (generated by smidump 0.4.5)

SNMP-TARGET-MIB SnmpTagValue                         type        
SNMP-TARGET-MIB SnmpTagList                          type        
SNMP-TARGET-MIB snmpTargetMIB                        node         1.3.6.1.6.3.12
SNMP-TARGET-MIB snmpTargetObjects                    node         1.3.6.1.6.3.12.1
SNMP-TARGET-MIB snmpTargetSpinLock                   scalar       1.3.6.1.6.3.12.1.1
SNMP-TARGET-MIB snmpTargetAddrTable                  table        1.3.6.1.6.3.12.1.2
SNMP-TARGET-MIB snmpTargetAddrEntry                  row          1.3.6.1.6.3.12.1.2.1
SNMP-TARGET-MIB snmpTargetAddrName                   column       1.3.6.1.6.3.12.1.2.1.1
SNMP-TARGET-MIB snmpTargetAddrTDomain                column       1.3.6.1.6.3.12.1.2.1.2
SNMP-TARGET-MIB snmpTargetAddrTAddress               column       1.3.6.1.6.3.12.1.2.1.3
SNMP-TARGET-MIB snmpTargetAddrTimeout                column       1.3.6.1.6.3.12.1.2.1.4
SNMP-TARGET-MIB snmpTargetAddrRetryCount             column       1.3.6.1.6.3.12.1.2.1.5
SNMP-TARGET-MIB snmpTargetAddrTagList                column       1.3.6.1.6.3.12.1.2.1.6
SNMP-TARGET-MIB snmpTargetAddrParams                 column       1.3.6.1.6.3.12.1.2.1.7
SNMP-TARGET-MIB snmpTargetAddrStorageType            column       1.3.6.1.6.3.12.1.2.1.8
SNMP-TARGET-MIB snmpTargetAddrRowStatus              column       1.3.6.1.6.3.12.1.2.1.9
SNMP-TARGET-MIB snmpTargetParamsTable                table        1.3.6.1.6.3.12.1.3
SNMP-TARGET-MIB snmpTargetParamsEntry                row          1.3.6.1.6.3.12.1.3.1
SNMP-TARGET-MIB snmpTargetParamsName                 column       1.3.6.1.6.3.12.1.3.1.1
SNMP-TARGET-MIB snmpTargetParamsMPModel              column       1.3.6.1.6.3.12.1.3.1.2
SNMP-TARGET-MIB snmpTargetParamsSecurityModel        column       1.3.6.1.6.3.12.1.3.1.3
SNMP-TARGET-MIB snmpTargetParamsSecurityName         column       1.3.6.1.6.3.12.1.3.1.4
SNMP-TARGET-MIB snmpTargetParamsSecurityLevel        column       1.3.6.1.6.3.12.1.3.1.5
SNMP-TARGET-MIB snmpTargetParamsStorageType          column       1.3.6.1.6.3.12.1.3.1.6
SNMP-TARGET-MIB snmpTargetParamsRowStatus            column       1.3.6.1.6.3.12.1.3.1.7
SNMP-TARGET-MIB snmpUnavailableContexts              scalar       1.3.6.1.6.3.12.1.4
SNMP-TARGET-MIB snmpUnknownContexts                  scalar       1.3.6.1.6.3.12.1.5
SNMP-TARGET-MIB snmpTargetConformance                node         1.3.6.1.6.3.12.3
SNMP-TARGET-MIB snmpTargetCompliances                node         1.3.6.1.6.3.12.3.1
SNMP-TARGET-MIB snmpTargetGroups                     node         1.3.6.1.6.3.12.3.2
# SNMP-NOTIFICATION-MIB list of identifiers (generated by smidump 0.4.5)

SNMP-NOTIFICATION-MIB snmpNotificationMIB              node         1.3.6.1.6.3.13
SNMP-NOTIFICATION-MIB snmpNotifyObjects                node         1.3.6.1.6.3.13.1
SNMP-NOTIFICATION-MIB snmpNotifyTable                  table        1.3.6.1.6.3.13.1.1
SNMP-NOTIFICATION-MIB snmpNotifyEntry                  row          1.3.6.1.6.3.13.1.1.1
SNMP-NOTIFICATION-MIB snmpNotifyName                   column       1.3.6.1.6.3.13.1.1.1.1
SNMP-NOTIFICATION-MIB snmpNotifyTag                    column       1.3.6.1.6.3.13.1.1.1.2
SNMP-NOTIFICATION-MIB snmpNotifyType                   column       1.3.6.1.6.3.13.1.1.1.3
SNMP-NOTIFICATION-MIB snmpNotifyStorageType            column       1.3.6.1.6.3.13.1.1.1.4
SNMP-NOTIFICATION-MIB snmpNotifyRowStatus              column       1.3.6.1.6.3.13.1.1.1.5
SNMP-NOTIFICATION-MIB snmpNotifyFilterProfileTable     table        1.3.6.1.6.3.13.1.2
SNMP-NOTIFICATION-MIB snmpNotifyFilterProfileEntry     row          1.3.6.1.6.3.13.1.2.1
SNMP-NOTIFICATION-MIB snmpNotifyFilterProfileName      column       1.3.6.1.6.3.13.1.2.1.1
SNMP-NOTIFICATION-MIB snmpNotifyFilterProfileStorType  column       1.3.6.1.6.3.13.1.2.1.2
SNMP-NOTIFICATION-MIB snmpNotifyFilterProfileRowStatus column       1.3.6.1.6.3.13.1.2.1.3
SNMP-NOTIFICATION-MIB snmpNotifyFilterTable            table        1.3.6.1.6.3.13.1.3
SNMP-NOTIFICATION-MIB snmpNotifyFilterEntry            row          1.3.6.1.6.3.13.1.3.1
SNMP-NOTIFICATION-MIB snmpNotifyFilterSubtree          column       1.3.6.1.6.3.13.1.3.1.1
SNMP-NOTIFICATION-MIB snmpNotifyFilterMask             column       1.3.6.1.6.3.13.1.3.1.2
SNMP-NOTIFICATION-MIB snmpNotifyFilterType             column       1.3.6.1.6.3.13.1.3.1.3
SNMP-NOTIFICATION-MIB snmpNotifyFilterStorageType      column       1.3.6.1.6.3.13.1.3.1.4
SNMP-NOTIFICATION-MIB snmpNotifyFilterRowStatus        column       1.3.6.1.6.3.13.1.3.1.5
SNMP-NOTIFICATION-MIB snmpNotifyConformance            node         1.3.6.1.6.3.13.3
SNMP-NOTIFICATION-MIB snmpNotifyCompliances            node         1.3.6.1.6.3.13.3.1
SNMP-NOTIFICATION-MIB snmpNotifyGroups                 node         1.3.6.1.6.3.13.3.2
# SNMP-COMMUNITY-MIB list of identifiers (generated by smidump 0.4.5)

SNMP-COMMUNITY-MIB snmpCommunityMIB               node         1.3.6.1.6.3.18
SNMP-COMMUNITY-MIB snmpCommunityMIBObjects        node         1.3.6.1.6.3.18.1
SNMP-COMMUNITY-MIB snmpCommunityTable             table        1.3.6.1.6.3.18.1.1
SNMP-COMMUNITY-MIB snmpCommunityEntry             row          1.3.6.1.6.3.18.1.1.1
SNMP-COMMUNITY-MIB snmpCommunityIndex             column       1.3.6.1.6.3.18.1.1.1.1
SNMP-COMMUNITY-MIB snmpCommunityName              column       1.3.6.1.6.3.18.1.1.1.2
SNMP-COMMUNITY-MIB snmpCommunitySecurityName      column       1.3.6.1.6.3.18.1.1.1.3
SNMP-COMMUNITY-MIB snmpCommunityContextEngineID   column       1.3.6.1.6.3.18.1.1.1.4
SNMP-COMMUNITY-MIB snmpCommunityContextName       column       1.3.6.1.6.3.18.1.1.1.5
SNMP-COMMUNITY-MIB snmpCommunityTransportTag      column       1.3.6.1.6.3.18.1.1.1.6
SNMP-COMMUNITY-MIB snmpCommunityStorageType       column       1.3.6.1.6.3.18.1.1.1.7
SNMP-COMMUNITY-MIB snmpCommunityStatus            column       1.3.6.1.6.3.18.1.1.1.8
SNMP-COMMUNITY-MIB snmpTargetAddrExtTable         table        1.3.6.1.6.3.18.1.2
SNMP-COMMUNITY-MIB snmpTargetAddrExtEntry         row          1.3.6.1.6.3.18.1.2.1
SNMP-COMMUNITY-MIB snmpTargetAddrTMask            column       1.3.6.1.6.3.18.1.2.1.1
SNMP-COMMUNITY-MIB snmpTargetAddrMMS              column       1.3.6.1.6.3.18.1.2.1.2
SNMP-COMMUNITY-MIB snmpTrapAddress                scalar       1.3.6.1.6.3.18.1.3
SNMP-COMMUNITY-MIB snmpTrapCommunity              scalar       1.3.6.1.6.3.18.1.4
SNMP-COMMUNITY-MIB snmpCommunityMIBConformance    node         1.3.6.1.6.3.18.2
SNMP-COMMUNITY-MIB snmpCommunityMIBCompliances    node         1.3.6.1.6.3.18.2.1
SNMP-COMMUNITY-MIB snmpCommunityMIBGroups         node         1.3.6.1.6.3.18.2.2
# SNMP-USER-BASED-SM-MIB list of identifiers (generated by smidump 0.4.5)

SNMP-USER-BASED-SM-MIB KeyChange                    type        
SNMP-USER-BASED-SM-MIB usmNoAuthProtocol            node         1.3.6.1.6.3.10.1.1.1
SNMP-USER-BASED-SM-MIB usmHMACMD5AuthProtocol       node         1.3.6.1.6.3.10.1.1.2
SNMP-USER-BASED-SM-MIB usmHMACSHAAuthProtocol       node         1.3.6.1.6.3.10.1.1.3
SNMP-USER-BASED-SM-MIB usmNoPrivProtocol            node         1.3.6.1.6.3.10.1.2.1
SNMP-USER-BASED-SM-MIB usmDESPrivProtocol           node         1.3.6.1.6.3.10.1.2.2
SNMP-USER-BASED-SM-MIB snmpUsmMIB                   node         1.3.6.1.6.3.15
SNMP-USER-BASED-SM-MIB usmMIBObjects                node         1.3.6.1.6.3.15.1
SNMP-USER-BASED-SM-MIB usmStats                     node         1.3.6.1.6.3.15.1.1
SNMP-USER-BASED-SM-MIB usmStatsUnsupportedSecLevels scalar       1.3.6.1.6.3.15.1.1.1
SNMP-USER-BASED-SM-MIB usmStatsNotInTimeWindows     scalar       1.3.6.1.6.3.15.1.1.2
SNMP-USER-BASED-SM-MIB usmStatsUnknownUserNames     scalar       1.3.6.1.6.3.15.1.1.3
SNMP-USER-BASED-SM-MIB usmStatsUnknownEngineIDs     scalar       1.3.6.1.6.3.15.1.1.4
SNMP-USER-BASED-SM-MIB usmStatsWrongDigests         scalar       1.3.6.1.6.3.15.1.1.5
SNMP-USER-BASED-SM-MIB usmStatsDecryptionErrors     scalar       1.3.6.1.6.3.15.1.1.6
SNMP-USER-BASED-SM-MIB usmUser                      node         1.3.6.1.6.3.15.1.2
SNMP-USER-BASED-SM-MIB usmUserSpinLock              scalar       1.3.6.1.6.3.15.1.2.1
SNMP-USER-BASED-SM-MIB usmUserTable                 table        1.3.6.1.6.3.15.1.2.2
SNMP-USER-BASED-SM-MIB usmUserEntry                 row          1.3.6.1.6.3.15.1.2.2.1
SNMP-USER-BASED-SM-MIB usmUserEngineID              column       1.3.6.1.6.3.15.1.2.2.1.1
SNMP-USER-BASED-SM-MIB usmUserName                  column       1.3.6.1.6.3.15.1.2.2.1.2
SNMP-USER-BASED-SM-MIB usmUserSecurityName          column       1.3.6.1.6.3.15.1.2.2.1.3
SNMP-USER-BASED-SM-MIB usmUserCloneFrom             column       1.3.6.1.6.3.15.1.2.2.1.4
SNMP-USER-BASED-SM-MIB usmUserAuthProtocol          column       1.3.6.1.6.3.15.1.2.2.1.5
SNMP-USER-BASED-SM-MIB usmUserAuthKeyChange         column       1.3.6.1.6.3.15.1.2.2.1.6
SNMP-USER-BASED-SM-MIB usmUserOwnAuthKeyChange      column       1.3.6.1.6.3.15.1.2.2.1.7
SNMP-USER-BASED-SM-MIB usmUserPrivProtocol          column       1.3.6.1.6.3.15.1.2.2.1.8
SNMP-USER-BASED-SM-MIB usmUserPrivKeyChange         column       1.3.6.1.6.3.15.1.2.2.1.9
SNMP-USER-BASED-SM-MIB usmUserOwnPrivKeyChange      column       1.3.6.1.6.3.15.1.2.2.1.10
SNMP-USER-BASED-SM-MIB usmUserPublic                column       1.3.6.1.6.3.15.1.2.2.1.11
SNMP-USER-BASED-SM-MIB usmUserStorageType           column       1.3.6.1.6.3.15.1.2.2.1.12
SNMP-USER-BASED-SM-MIB usmUserStatus                column       1.3.6.1.6.3.15.1.2.2.1.13
SNMP-USER-BASED-SM-MIB usmMIBConformance            node         1.3.6.1.6.3.15.2
SNMP-USER-BASED-SM-MIB usmMIBCompliances            node         1.3.6.1.6.3.15.2.1
SNMP-USER-BASED-SM-MIB usmMIBGroups                 node         1.3.6.1.6.3.15.2.2
# HOST-RESOURCES-MIB list of identifiers (generated by smidump 0.4.5)

HOST-RESOURCES-MIB KBytes                        type        
HOST-RESOURCES-MIB ProductID                     type        
HOST-RESOURCES-MIB InternationalDisplayString    type        
HOST-RESOURCES-MIB host                          node         1.3.6.1.2.1.25
HOST-RESOURCES-MIB hrSystem                      node         1.3.6.1.2.1.25.1
HOST-RESOURCES-MIB hrSystemUptime                scalar       1.3.6.1.2.1.25.1.1
HOST-RESOURCES-MIB hrSystemDate                  scalar       1.3.6.1.2.1.25.1.2
HOST-RESOURCES-MIB hrSystemInitialLoadDevice     scalar       1.3.6.1.2.1.25.1.3
HOST-RESOURCES-MIB hrSystemInitialLoadParameters scalar       1.3.6.1.2.1.25.1.4
HOST-RESOURCES-MIB hrSystemNumUsers              scalar       1.3.6.1.2.1.25.1.5
HOST-RESOURCES-MIB hrSystemProcesses             scalar       1.3.6.1.2.1.25.1.6
HOST-RESOURCES-MIB hrSystemMaxProcesses          scalar       1.3.6.1.2.1.25.1.7
HOST-RESOURCES-MIB hrStorage                     node         1.3.6.1.2.1.25.2
HOST-RESOURCES-MIB hrStorageTypes                node         1.3.6.1.2.1.25.2.1
